volcano name,last eruption year,country,latitude,longitude,elevation
Abu,-6850,Japan,34.5,131.6,641
Acamarachi,Unknown,Chile,-23.292,-67.618,6023
Acatenango,1972,Guatemala,14.501,-90.876,3976
Acigol-Nevsehir,-2080,Turkey,38.537,34.621,1683
Adams,950,United States,46.206,-121.49,3742
Adatarayama,1996,Japan,37.647,140.281,1728
Adwa,Unknown,Ethiopia,10.07,40.84,1733
Afdera,Unknown,Ethiopia,13.088,40.853,1250
Agrigan,1917,United States,18.77,145.67,965
Agua,Unknown,Guatemala,14.465,-90.743,3760
Agua de Pau,1564,Portugal,37.77,-25.47,947
Aguilera,-1250,Chile,-50.33,-73.75,2546
Agung,2019,Indonesia,-8.343,115.508,2997
Ahyi,2014,United States,20.42,145.03,-75
Aira,2020,Japan,31.593,130.657,1117
Akademia Nauk,1996,Russia,53.98,159.45,1180
Akagisan,Unknown,Japan,36.56,139.193,1828
Akan,2008,Japan,43.384,144.013,1499
Akita-Komagatake,1971,Japan,39.761,140.799,1637
Akita-Yakeyama,1997,Japan,39.964,140.757,1366
Akusekijima,Unknown,Japan,29.465,129.594,555
Akutan,1992,United States,54.134,-165.986,1303
Alaid,2018,Russia,50.861,155.565,2285
Alayta,1915,Ethiopia,12.888,40.573,1496
Alcedo,1993,Ecuador,-0.43,-91.12,1130
Ale Bagu,Unknown,Ethiopia,13.512,40.631,988
Alid,Unknown,Eritrea,14.88,39.92,904
Aliso,-2450,Ecuador,-0.53,-78,4267
Alligator Lake,Unknown,Canada,60.42,-135.42,2217
Almolonga,1818,Guatemala,14.797,-91.519,3173
Alney-Chashakondzha,1600,Russia,56.656,159.647,2570
Alu-Dalafilla,2008,Ethiopia,13.793,40.553,578
Alutu,-50,Ethiopia,7.77,38.78,2335
Amak,1796,United States,55.424,-163.149,488
Amasing,Unknown,Indonesia,-0.53,127.48,1030
Ambae,2018,Vanuatu,-15.389,167.835,1496
Ambalatungan Group,Unknown,Philippines,17.32,121.1,2329
Ambang,2005,Indonesia,0.75,124.42,1795
Ambitle,-350,Papua New Guinea,-4.08,153.65,450
Ambre-Bobaomby,Unknown,Madagascar,-12.6,49.15,1475
Ambrym,2018,Vanuatu,-16.25,168.12,1334
Amsterdam Island,Unknown,France,-37.83,77.52,881
Amukta,1997,United States,52.5,-171.252,1066
Anatahan,2008,United States,16.35,145.67,790
Anaun,Unknown,Russia,56.32,158.83,1828
